company_name,category,website,career_page,career_page_status,career_page_source,skip,skip_reason
ARIS,Cross-Selling,https://aris.com,https://jobs.dayforcehcm.com/aris/ARISPORTAL?searchText=Product,manual:ok,manual,false,
Aerospike,Cross-Selling,https://aerospike.com,https://ats.rippling.com/aerospike-inc/jobs,manual:ok,manual,false,
Allocate,Cross-Selling,https://allocate.co,https://www.allocate.co/careers,manual:ok,manual,false,
Amerit Fleet Solutions,Cross-Selling,https://ameritfleetsolutions.com,https://careers-ameritfleet.icims.com/jobs/search?ss=1&hashed=-435679995,manual:ok,manual,false,
Arrive,Cross-Selling,https://arrive.com,https://careers.arrive.com/jobs?split_view=true&query=&department=Technology,manual:ok,manual,false,
Automated Financial Systems,Cross-Selling,https://afsvision.com,https://afsvision.rec.pro.ukg.net/AUT1502AUTF/JobBoard/7ca9d941-9d62-46ea-949b-92d86f47cf67/?q=&o=postedDateDesc,manual:ok,manual,false,
Avalara,Cross-Selling,https://avalara.com,https://app.careerpuck.com/job-board/avalara?locationId=Ay7uiUOA&departmentId=EyM5EW3S,manual:ok,manual,false,
Beacon Software,Cross-Selling,https://beaconsoftware.com,https://www.beaconsoftware.com/careers,manual:ok,manual,false,
Blackstone Group,Cross-Selling,https://blackstone.com,https://blackstone.wd1.myworkdayjobs.com/en-US/Blackstone_Careers?REC_ESI_Skill_is_Business_Unit_Extended=7674c604ae970153f60625117b110aa4,manual:ok,manual,false,
Citian,Cross-Selling,https://citiansolutions.com,https://job-boards.greenhouse.io/citian,manual:ok,manual,false,
Cockroach Labs,Cross-Selling,https://cockroachlabs.com,https://www.cockroachlabs.com/careers/,ok:200,auto,false,
Crux Climate,Cross-Selling,https://crux.com,https://jobs.ashbyhq.com/cruxclimate,manual:ok,manual,false,
CycloMedia Technology,Cross-Selling,https://cyclomedia.com,https://cyclomediatechnology.recruitee.com/,manual:ok,manual,false,
DNSFilter,Cross-Selling,https://dnsfilter.com,https://www.dnsfilter.com/careers,ok:200,auto,false,
Diligent,Cross-Selling,https://diligent.com,https://job-boards.greenhouse.io/diligentcorporation,manual:ok,manual,false,
Ease.io,Cross-Selling,https://ease.io,https://www.ease.io/careers/,ok:200,auto,false,
Enable,Cross-Selling,https://enable.com,https://jobs.lever.co/enable,manual:ok,manual,false,
Envestnet,Cross-Selling,https://envestnet.com,https://careers.envestnet.com/search/product-technology/jobs,manual:fail:403,manual,false,
FICO,Cross-Selling,https://fico.com,https://fico.wd1.myworkdayjobs.com/External?jobFamilyGroup=a46e175d937b106cdb2f901ef52e94e9&jobFamilyGroup=a46e175d937b106cdb2fbd87114194f5,manual:ok,manual,false,
G-Research,Cross-Selling,https://gresearch.co.uk,https://www.gresearch.com/vacancies/?specialism%5B%5D=software-engineering,manual:ok,manual,false,
Goradar,Cross-Selling,https://goradar.com,https://goradar.com/jobs/,manual:ok,manual,false,
Granola,Cross-Selling,https://granola.ai,https://www.granola.ai/jobs,manual:ok,manual,false,
H.I.G. Capital,Cross-Selling,https://hig.com,,fail:404,,false,
Hippo Insurance,Cross-Selling,https://hippo.com,https://www.hippo.com/careers,manual:fail:403,manual,false,
HubSpot,Cross-Selling,https://hubspot.com,https://www.hubspot.com/careers/jobs?hubs_signup-cta=careers-nav-cta&page=1,manual:ok,manual,false,
IG Group,Cross-Selling,https://iggroup.com,https://ig.wd103.myworkdayjobs.com/EXT_IG?jobFamilyGroup=d12822c1d3f81001db65b08a175a0000&jobFamilyGroup=d12822c1d3f81001db65943a57ab0000&jobFamilyGroup=d12822c1d3f81001db65a2b0aecc0000,manual:ok,manual,false,
Instructure Inc,Cross-Selling,https://instructure.com,https://www.instructure.com/about/careers,ok:200,auto,false,
J.F. Lehman & Company,Cross-Selling,https://jflpartners.com,,fail:404,,false,
Junior.AI,Cross-Selling,https://myjunior.ai,https://junior.ai/careers,manual:ok,manual,false,
Legora,Cross-Selling,https://legora.com,https://legora.com/careers,manual:ok,manual,false,
LinkedIn,Cross-Selling,https://linkedin.com,https://www.linkedin.com/jobs/search-results/?keywords=jobs&origin=JOB_SEARCH_PAGE_JOB_FILTER&referralSearchId=mymqiHaeKeapi3WuYalwnw%3D%3D&start=75&geoId=103644278&f_C=1337,manual:ok,manual,false,
Logex,Cross-Selling,https://logex.com,https://logex.recruitee.com/,manual:ok,manual,false,
Mercer Advisors,Cross-Selling,https://merceradvisors.com,https://job-boards.greenhouse.io/merceradvisors,manual:ok,manual,false,
Metropolis,Cross-Selling,https://metropolis.io,https://job-boards.greenhouse.io/metropolis?offices%5B%5D=4023693003&offices%5B%5D=4025886003&offices%5B%5D=4022016003&offices%5B%5D=4038941003&offices%5B%5D=4025895003&offices%5B%5D=4000809003&offices%5B%5D=4138808003&offices%5B%5D=4061848003&offices%5B%5D=4016056003&offices%5B%5D=4000767003&offices%5B%5D=4026486003&offices%5B%5D=4021374003&offices%5B%5D=4025891003&offices%5B%5D=4133745003&offices%5B%5D=4038568003&page=1,manual:ok,manual,false,
Mobile.de GmbH,Cross-Selling,https://mobile.de,https://mobilede.careers.hibob.com/jobs?department=266385154,manual:ok,manual,false,
NetBrain Technologies,Cross-Selling,https://netbraintech.com,https://www.netbrain.com/about/careers/openings/,manual:ok,manual,false,
Perkbox,Cross-Selling,https://perkbox.com,https://perkboxvivup.teamtailor.com/jobs,manual:ok,manual,false,
Pipedrive,Cross-Selling,https://pipedrive.com,https://jobs.lever.co/pipedrive,manual:ok,manual,false,
"Planview, Inc.",Cross-Selling,https://planview.com,https://careers.planview.com/careers-home/jobs?page=1&categories=Product%20Development%7CProduct%20Management,manual:ok,manual,false,
PowerGEM,Cross-Selling,https://power-gem.com,https://power-gem.co/careers/,manual:ok,manual,false,
Qualus,Cross-Selling,https://qualuscorp.com,https://talent.qualuscorp.com/jobs?categories=Engineering%20%26%20Advisory&page=3,manual:ok,manual,false,
Spok Inc,Cross-Selling,https://spok.com,https://www.spok.com/careers/all-open-positions/,manual:ok,manual,false,
Storable,Cross-Selling,https://storable.com,https://www.storable.com/about-us/culture/careers/,manual:fail:403,manual,false,
Tudor Investments,Cross-Selling,https://tudor.com,https://www.tudor.com/careers/,ok:200,auto,false,
Uber,Cross-Selling,https://uber.com,https://jobs.uber.com/en/,manual:ok,manual,false,
Watchtower Labs,Cross-Selling,https://watchtowerlabs.ai,https://www.watchtowerlabs.ai/careers,ok:200,auto,false,
World of Books,Cross-Selling,https://worldofbooks.com,https://jobs.dayforcehcm.com/en-GB/wobgroup/CANDIDATEPORTAL?departmentId=189,manual:ok,manual,false,
Zenity,Cross-Selling,https://zenity.io,https://zenity.io/careers,ok:200,auto,false,
Zywave Inc,Cross-Selling,https://zywave.com,https://secure4.saashr.com/ta/6165823.careers?CareersSearch=&lang=en-US,manual:ok,manual,false,
easybill (Platin 2412 GmbH),Cross-Selling,https://easybill.de,https://join.com/companies/easybill,manual:ok,manual,false,
6sense,Startups,https://6sense.com,https://job-boards.greenhouse.io/embed/job_board?for=6sense,manual:ok,manual,false,
Agility Robotics,Startups,https://agilityrobotics.com,https://www.agilityrobotics.com/careers,ok:200,auto,false,
Alloy,Startups,https://alloy.com,https://job-boards.greenhouse.io/alloy,manual:ok,manual,false,
Ambience Healthcare,Startups,https://www.ambiencehealthcare.com,https://www.ambiencehealthcare.com/careers,ok:200,auto,false,
Anthropic,Startups,https://www.anthropic.com,https://job-boards.greenhouse.io/anthropic,manual:ok,manual,false,
Anysphere,Startups,https://anysphere.inc,https://cursor.com/careers,ok:200,auto,false,
Apollo.io,Startups,https://www.apollo.io,https://job-boards.greenhouse.io/apolloio,manual:ok,manual,false,
AppZen,Startups,https://www.appzen.com,https://www.appzen.com/careers,ok:200,auto,false,
Apptronik,Startups,https://apptronik.com,https://job-boards.greenhouse.io/apptronik,manual:ok,manual,false,
Assort Health,Startups,https://www.assorthealth.com,https://jobs.ashbyhq.com/assorthealth,manual:ok,manual,false,
Beta Technologies,Startups,https://www.beta.team,https://beta.team/careers,ok:200,auto,false,
BitGo,Startups,https://www.bitgo.com,https://www.bitgo.com/company/careers/,ok:200,auto,false,
BlockDAG,Startups,https://blockdag.network,,fail:404,,true,no_career_page
Bluesky,Startups,https://bsky.app,https://bsky.social/about/join,manual:ok,manual,false,
Brightspeed,Startups,https://www.brightspeed.com,https://careers.brightspeed.com,ok:200,auto,false,
Chainguard,Startups,https://www.chainguard.dev,https://job-boards.greenhouse.io/chainguard,manual:ok,manual,false,
Character.AI,Startups,https://character.ai,https://jobs.ashbyhq.com/character,ok:200,auto,false,
Clay,Startups,https://www.clay.com,https://www.clay.com/careers,ok:200,auto,false,
CodeRabbit,Startups,https://coderabbit.ai,https://www.coderabbit.ai/careers,ok:200,auto,false,
Cognition,Startups,https://cognition.ai,https://cognition.com/careers,ok:200,auto,false,
Colossal Biosciences,Startups,https://colossal.com,https://job-boards.greenhouse.io/colossalbiosciences,manual:ok,manual,false,
Commonwealth Fusion Systems,Startups,https://cfs.energy,https://cfs.energy/careers/,ok:200,auto,false,
Creatio,Startups,https://www.creatio.com,https://www.creatio.com/company/careers,ok:200,auto,false,
Cyera,Startups,https://cyera.io,https://www.cyera.com/careers,ok:200,auto,false,
Databricks,Startups,https://www.databricks.com,https://job-boards.greenhouse.io/databricks,manual:ok,manual,false,
Descope,Startups,https://www.descope.com,https://job-boards.greenhouse.io/descope,manual:ok,manual,false,
Distyl AI,Startups,https://distyl.ai,https://www.distyl.ai/careers,ok:200,auto,false,
Eight Sleep,Startups,https://www.eightsleep.com,https://www.eightsleep.com/careers,ok:200,auto,false,
ElevenLabs,Startups,https://elevenlabs.io,https://jobs.ashbyhq.com/elevenlabs,manual:ok,manual,false,
EliseAI,Startups,https://www.eliseai.com,https://eliseai.com/careers,ok:200,auto,false,
Exa,Startups,https://exa.ai,https://jobs.ashbyhq.com/exa,manual:ok,manual,false,
Factory,Startups,https://factory.ai,https://jobs.ashbyhq.com/factory,manual:ok,manual,false,
FalconX,Startups,https://www.falconx.io,https://job-boards.greenhouse.io/falconx,manual:ok,manual,false,
FanDuel,Startups,https://www.fanduel.com,https://www.fanduel.careers/open-positions/,manual:ok,manual,false,
Figure,Startups,https://www.figure.ai,https://job-boards.greenhouse.io/figure,manual:ok,manual,false,
Flock Safety,Startups,https://www.flocksafety.com,https://www.flocksafety.com/careers,ok:200,auto,false,
FriendliAI,Startups,https://friendli.ai,https://friendli.ai/careers,ok:200,auto,false,
Glean,Startups,https://www.glean.com,https://job-boards.greenhouse.io/gleanwork,manual:ok,manual,false,
Harness,Startups,https://www.harness.io,https://www.harness.io/company/careers,ok:200,auto,false,
Harvey,Startups,https://www.harvey.ai,https://jobs.ashbyhq.com/harvey,manual:ok,manual,false,
Honor,Startups,https://www.honorcare.com,https://www.honorcare.com/honor-careers/,manual:ok,manual,false,
Indigo,Startups,https://www.indigoag.com,https://job-boards.greenhouse.io/indigo,manual:ok,manual,false,
Inspiren,Startups,https://inspiren.com,https://www.inspiren.com/careers,ok:200,auto,false,
Juniper Square,Startups,https://www.junipersquare.com,https://jobs.ashbyhq.com/junipersquare,manual:ok,manual,false,
Kredete,Startups,https://www.kredete.com,https://kredete.io/careers/,ok:200,auto,false,
Labs,Startups,https://labs.com,,fail:404,,true,no_career_page
Lambda,Startups,https://lambda.ai,https://lambda.ai/careers,ok:200,auto,false,
Lendistry,Startups,https://lendistry.com,https://lendistry.wd108.myworkdayjobs.com/Careers_Join_Us,manual:ok,manual,false,
Lila Sciences,Startups,https://lila.ai,https://job-boards.greenhouse.io/lilasciences,manual:ok,manual,false,
Liquid AI,Startups,https://liquid.ai,https://jobs.ashbyhq.com/liquid-ai,ok:200,auto,false,
MarqVision,Startups,https://www.marqvision.com,https://job-boards.greenhouse.io/marqvision,ok:200,auto,false,
May Mobility,Startups,https://maymobility.com,https://maymobility.com/careers,ok:200,auto,false,
Mercor,Startups,https://mercor.com,https://www.mercor.com/careers/,ok:200,auto,false,
Midi Health,Startups,https://www.joinmidi.com,https://www.joinmidi.com/careers,ok:200,auto,false,
Momentum,Startups,https://www.momentum.io,https://www.momentum.io/careers,ok:200,auto,false,
MoonPay,Startups,https://www.moonpay.com,https://www.moonpay.com/careers,ok:200,auto,false,
Navan,Startups,https://navan.com,https://job-boards.greenhouse.io/tripactions,manual:ok,manual,false,
Neon,Startups,https://neon.tech,https://jobs.ashbyhq.com/neon,manual:ok,manual,false,
Neuralink,Startups,https://neuralink.com,https://job-boards.greenhouse.io/neuralink,manual:ok,manual,false,
Nozomi Networks,Startups,https://www.nozominetworks.com,https://www.nozominetworks.com/company/careers,ok:200,auto,false,
Octane,Startups,https://octane.co,https://job-boards.greenhouse.io/octanelending,manual:ok,manual,false,
Odyssey Therapeutics,Startups,https://odysseytx.com,https://odysseytx.com/careers/,ok:200,auto,false,
OpenAI,Startups,https://openai.com,https://jobs.ashbyhq.com/openai,manual:ok,manual,false,
OpenEvidence,Startups,https://www.openevidence.com,https://jobs.ashbyhq.com/openevidence,manual:ok,manual,false,
Paradox,Startups,https://www.paradox.ai,https://careers.paradox.ai/,manual:ok,manual,false,
Periodic Labs,Startups,https://periodiclabs.ai,https://jobs.ashbyhq.com/periodic-labs?departmentId=6cd1bfc2-3e28-45b7-849f-619cdd1f0847,ok:200,auto,false,
Perplexity,Startups,https://www.perplexity.ai,https://jobs.ashbyhq.com/Perplexity,manual:ok,manual,false,
Phia,Startups,https://www.phia.com,https://jobs.ashbyhq.com/phia,manual:ok,manual,false,
Polymarket,Startups,https://polymarket.com,https://jobs.ashbyhq.com/polymarket,manual:ok,manual,false,
Poppi,Startups,https://drinkpoppi.com,,fail:404,,true,no_career_page
Quantinuum,Startups,https://www.quantinuum.com,https://www.quantinuum.com/company/careers,ok:200,auto,false,
