company_name,category,website,career_page,career_page_status,career_page_source,skip,skip_reason
LinkedIn,Cross-Selling,https://linkedin.com,https://www.linkedin.com/jobs/search-results/?keywords=jobs&origin=JOB_SEARCH_PAGE_JOB_FILTER&referralSearchId=mymqiHaeKeapi3WuYalwnw%3D%3D&start=75&geoId=103644278&f_C=1337,manual:ok,manual,false,
Uber,Cross-Selling,https://uber.com,https://jobs.uber.com/en/jobs/?search=Engineer&team=Engineer&countries=United%20States&countries=United%20Kingdom&page=2&pagesize=10,manual:ok,manual,false,
Blackstone Group,Cross-Selling,https://blackstone.com,https://blackstone.wd1.myworkdayjobs.com/en-US/Blackstone_Careers?REC_ESI_Skill_is_Business_Unit_Extended=7674c604ae970153f60625117b110aa4,manual:ok,manual,false,
HubSpot,Cross-Selling,https://hubspot.com,https://www.hubspot.com/careers/jobs?hubs_signup-cta=careers-nav-cta&page=1,manual:ok,manual,false,
Legora,Cross-Selling,https://legora.com,https://legora.com/careers,manual:ok,manual,false,
Amerit Fleet Solutions,Cross-Selling,https://ameritfleetsolutions.com,https://careers-ameritfleet.icims.com/jobs/search?ss=1&searchCategory=8730,manual:ok,manual,false,
J.F. Lehman & Company,Cross-Selling,https://jflpartners.com,,,,false,
Tudor Investments,Cross-Selling,https://tudor.com,,,,false,
Ease.io,Cross-Selling,https://ease.io,,,,false,
Beacon Software,Cross-Selling,https://beaconsoftware.com,https://www.beaconsoftware.com/careers,manual:ok,manual,false,
IG Group,Cross-Selling,https://iggroup.com,https://ig.wd103.myworkdayjobs.com/EXT_IG?jobFamilyGroup=d12822c1d3f81001db65b08a175a0000&jobFamilyGroup=d12822c1d3f81001db65943a57ab0000&jobFamilyGroup=d12822c1d3f81001db65a2b0aecc0000,manual:ok,manual,false,
Aerospike,Cross-Selling,https://aerospike.com,https://ats.rippling.com/aerospike-inc/jobs,manual:ok,manual,false,
Zywave Inc,Cross-Selling,https://zywave.com,https://secure4.saashr.com/ta/6165823.careers?CareersSearch=&lang=en-US,manual:ok,manual,false,
Hippo Insurance,Cross-Selling,https://hippo.com,https://www.hippo.com/careers,manual:ok,manual,false,
Mercer Advisors,Cross-Selling,https://merceradvisors.com,https://job-boards.greenhouse.io/merceradvisors,manual:ok,manual,false,
NetBrain Technologies,Cross-Selling,https://netbraintech.com,https://www.netbrain.com/about/careers/openings/,manual:ok,manual,false,
Enable,Cross-Selling,https://enable.com,https://jobs.lever.co/enable,manual:ok,manual,false,
Arrive,Cross-Selling,https://arrive.com,https://careers.arrive.com/jobs?split_view=true&query=&department=Technology,manual:ok,manual,false,
Zenity,Cross-Selling,https://zenity.io,,,,false,
Mobile.de GmbH,Cross-Selling,https://mobile.de,https://mobilede.careers.hibob.com/jobs?department=266385154,manual:ok,manual,false,
ARIS,Cross-Selling,https://aris.com,https://jobs.dayforcehcm.com/aris/ARISPORTAL?searchText=Product,manual:ok,manual,false,
Crux Climate,Cross-Selling,https://crux.com,https://www.crux.com/careers?ashby_department_id=d3b975f8-24e1-4e84-b77e-87382e45acc8,manual:ok,manual,false,
Automated Financial Systems,Cross-Selling,https://afsvision.com,https://afsvision.rec.pro.ukg.net/AUT1502AUTF/JobBoard/7ca9d941-9d62-46ea-949b-92d86f47cf67/?q=&o=postedDateDesc,manual:ok,manual,false,
Avalara,Cross-Selling,https://avalara.com,https://app.careerpuck.com/job-board/avalara?locationId=Ay7uiUOA&departmentId=EyM5EW3S,manual:ok,manual,false,
FICO,Cross-Selling,https://fico.com,https://fico.wd1.myworkdayjobs.com/External?jobFamilyGroup=a46e175d937b106cdb2f901ef52e94e9&jobFamilyGroup=a46e175d937b106cdb2fbd87114194f5,manual:ok,manual,false,
Storable,Cross-Selling,https://storable.com,https://www.storable.com/about-us/culture/careers/,manual:ok,manual,false,
Diligent,Cross-Selling,https://diligent.com,https://www.diligent.com/company/jobs,manual:ok,manual,false,
Cockroach Labs,Cross-Selling,https://cockroachlabs.com,,,,false,
H.I.G. Capital,Cross-Selling,https://hig.com,,,,false,
Instructure Inc,Cross-Selling,https://instructure.com,,,,false,
DNSFilter,Cross-Selling,https://dnsfilter.com,,,,false,
Watchtower Labs,Cross-Selling,https://watchtowerlabs.ai,,,,false,
Pipedrive,Cross-Selling,https://pipedrive.com,,,,false,
Spok Inc,Cross-Selling,https://spok.com,,,,false,
Junior.AI,Cross-Selling,https://myjunior.ai,https://junior.ai/careers,manual:ok,manual,false,
G-Research,Cross-Selling,https://gresearch.co.uk,https://www.gresearch.com/vacancies/,manual:ok,manual,false,
Citian,Cross-Selling,https://citiansolutions.com,https://www.citian.co/careers,manual:ok,manual,false,
Envestnet,Cross-Selling,https://envestnet.com,https://careers.envestnet.com/search/product-technology/jobs,manual:ok,manual,false,
