company_name,category,website,career_page,career_page_status,career_page_source,skip,skip_reason,company_stage,industry,placement_count
8x8,Top Targets,https://www.8x8.com,,,,false,,Public,Telecom,4
A Place for Mom,Top Targets,http://www.aplaceformom.com,,,,false,,Private (PE-backed),Health Tech,3
ABOUT YOU,Top Targets,https://aboutyou.com,,,,false,,Private (Acquired),eCommerce & Marketplace,3
Achieve,Top Targets,https://www.achieve.com/,,,,false,,Private (PE-backed),FinTech,7
Affirm,Top Targets,https://www.affirm.com,,,,false,,Public,FinTech,17
Airbnb,Top Targets,https://www.airbnb.com,,,,false,,Public,eCommerce & Marketplace,14
Altvia,Top Targets,https://altvia.com,,,,false,,Private (PE-backed),Customer Relationship Management,3
Amobee,Top Targets,http://www.amobee.com,,,,false,,Private,AdTech,3
Ancestry,Top Targets,http://ancestry.com,,,,false,,Private (PE-backed),Search,4
ASOS,Top Targets,http://www.asos.com,,,,false,,Public,eCommerce & Marketplace,3
Asurion,Top Targets,http://www.asurion.com,,,,false,,Private,FinTech,4
Atlassian,Top Targets,https://www.atlassian.com,,,,false,,Public,Social,7
AutoScout24,Top Targets,http://www.autoscout24.de,,,,false,,Private (PE-backed),eCommerce & Marketplace,7
Avalara,Top Targets,http://www.avalara.com,,,,false,,Private (PE-backed),FinTech,18
AVIV Group,Top Targets,https://www.aviv-group.com/,,,,false,,Private (Subsidiary),Online Media,4
Banyan Software,Top Targets,https://banyansoftware.com/,,,,false,,Private (Acquisition holding company),Computer Software,3
BILL,Top Targets,http://www.bill.com,,,,false,,Public,FinTech,10
Bond (fractional aviation solution),Top Targets,https://bond.co,,,,false,,Private (PE-backed),Aerospace,3
BrightDrop,Top Targets,https://www.gobrightdrop.com/,,,,false,,Private (GM subsidiary),Logistics,4
Bumble,Top Targets,http://bumble.com,,,,false,,Public,Social,4
Capital One,Top Targets,http://www.capitalone.com,,,,false,,Public,Venture Capital,4
Cast & Crew Entertainment Services,Top Targets,http://www.castandcrew.com,,,,false,,Private (PE-backed),HR & Workforce Management,5
CCC Information Services,Top Targets,http://www.cccis.com,,,,false,,Private (PE-backed),Other,3
Credit Acceptance,Top Targets,http://www.creditacceptance.com/,,,,false,,Public,FinTech,7
Cruise,Top Targets,http://www.getcruise.com,,,,false,,Private (GM subsidiary),Internet of Things & Robotics,6
Datadog,Top Targets,https://www.datadoghq.com,,,,false,,Public,Analytics/Data,8
Datto,Top Targets,http://datto.com/,,,,false,,Private (PE-backed),Security,4
"Diligent (Software Development, IP Portco)",Top Targets,http://diligent.com,,,,false,,Private (PE-backed),Internet Software & Services,3
DoorDash,Top Targets,http://www.doordash.com,,,,false,,Public,On-Demand Services,12
Dropbox,Top Targets,https://www.dropbox.com,,,,false,,Public,Content & Data Management,6
eBay,Top Targets,https://www.ebay.com/,,,,false,,Public,eCommerce & Marketplace,4
Elastic,Top Targets,https://www.elastic.co,,,,false,,Public,Internet,5
Ellucian,Top Targets,http://www.ellucian.com,,,,false,,Private (PE-backed),Internet,4
Eurowag,Top Targets,http://www.eurowag.com/,,,,false,,Public,Financial Services,5
Fastly,Top Targets,http://www.fastly.com,,,,false,,Public,Content & Data Management,4
Five Below,Top Targets,http://www.fivebelow.com,,,,false,,Public,Consumer Goods,3
Five9,Top Targets,http://www.five9.com,,,,false,,Public,Customer Relationship Management,3
Flexera,Top Targets,https://www.flexera.com,,,,false,,Private (PE-backed),Computer Software,3
GitHub,Top Targets,https://github.com,,,,false,,Private (Microsoft subsidiary),Social,8
Google,Top Targets,https://www.google.com,,,,false,,Public (Alphabet),Search,5
GoPro,Top Targets,https://gopro.com/,,,,false,,Public,Hardware & Electronics,5
Grammarly,Top Targets,https://superhuman.com,,,,false,,Private (VC-backed),Consumer Web,6
Groupon,Top Targets,http://www.groupon.com,,,,false,,Public,eCommerce & Marketplace,10
Grubhub,Top Targets,http://www.grubhub.com,,,,false,,Private (PE-backed),On-Demand Services,12
HoodCPA's,Top Targets,https://hoodcpas.com/,,,,false,,Private,Accounting,3
HubSpot,Top Targets,http://www.hubspot.com,,,,false,,Public,AdTech,3
Hulu,Top Targets,https://www.hulu.com,,,,false,,Private (Disney/Comcast-owned),Media & Entertainment,13
Hyland,Top Targets,http://www.hyland.com,,,,false,,Private (PE-backed),Computer Software,3
