company_name,placements,website,current_career_page,reason,new_career_page_url
McAfee,10,http://www.mcafee.com,https://job-boards.greenhouse.io/mcafee,"5 roles found, none in scope",
Trellix,10,http://www.trellix.com,https://careers.trellix.com,0 roles parsed (JS board),
Superbet Group,8,https://superbetgroup.com,https://www.super.xyz/careers/,"1 junk/out-of-scope links, none in scope",
Grammarly,6,https://superhuman.com,https://superhuman.com/company/careers,0 roles parsed (JS board),
Eurowag,5,http://www.eurowag.com,https://www.eurowag.com/company/career,0 roles parsed (JS board),
Google,5,https://www.google.com,https://www.google.com/about/careers/applications/jobs/results/,0 roles parsed (JS board),
GoPro,5,https://gopro.com,https://jobs.gopro.com/en/us?,0 roles parsed (JS board),
Infoblox,5,http://www.infoblox.com,https://www.infoblox.com/company/careers/,"1 junk/out-of-scope links, none in scope",
Insightsoftware,4,https://www.insightsoftware.com,https://insightsoftware.com/,0 roles parsed (JS board),
LinkedIn,4,https://www.linkedin.com,https://careers.linkedin.com,"1 junk/out-of-scope links, none in scope",
TrueCommerce,4,http://www.truecommerce.com,https://www.truecommerce.com/about-us/careers/,0 roles parsed (JS board),
Wendy's,4,https://www.wendys.com,https://wendys-careers.com/,0 roles parsed (JS board),
Zappos,4,http://www.zappos.com,https://www.amazon.jobs/en/search.json?base_query=zappos&offset=0&result_limit=100,0 roles parsed (JS board),
ABOUT YOU,3,https://aboutyou.com,https://www.aboutyou.com/about-us/careers,0 roles parsed (JS board),
Altvia,3,https://altvia.com,https://altvia.com/careers/,0 roles parsed (JS board),
Five Below,3,http://www.fivebelow.com,https://careers.fivebelow.com/us/en/search-results,"5 roles found, none in scope",
HubSpot,3,http://www.hubspot.com,https://www.hubspot.com/careers/jobs,"1 junk/out-of-scope links, none in scope",
Hyland,3,http://www.hyland.com,https://www.hyland.com/en/company/careers,0 roles parsed (JS board),
InformData,3,https://www.informdata.com,https://www.informdata.com/careers,0 roles parsed (JS board),
Inseego,3,http://www.inseego.com,https://inseego.com/company/careers/,0 roles parsed (JS board),
Nielsen,3,https://www.nielsen.com,https://www.nielsen.com/careers/,"1 junk/out-of-scope links, none in scope",
PracticeTek,3,https://practicetek.com,https://www.practicetek.com/careers,0 roles parsed (JS board),
